store_name,county,total_sales
HY-VEE #3 / BDI / DES MOINES,POLK,14409324.679999992
HY-VEE WINE AND SPIRITS #1 (1281) / IOWA CITY,JOHNSON,5849152.8500000024
HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,SCOTT,2685494.0600000019
HY-VEE FOOD STORE / URBANDALE,POLK,2650248.75
HY-VEE #7 / CEDAR RAPIDS,LINN,2618648.419999999
HY-VEE FOOD STORE / CORALVILLE,JOHNSON,2394996.7299999986
HY-VEE  #2 (1018) / AMES,STORY,2359007.0200000009
HY-VEE WINE AND SPIRITS / BETTENDORF,SCOTT,2311819.7200000007
HY-VEE / WAUKEE,DALLAS,2285429.3099999996
HY-VEE WINE AND SPIRITS / WDM,POLK,2187229.7599999993
HY-VEE WINE AND SPIRITS (1022) / ANKENY,POLK,2165548.3599999985
HY-VEE FOOD STORE #1 (1410) / MASON CITY,CERRO GORDO,2045361.860000001
HY-VEE FOOD STORE #2 / STATE ANKENY,POLK,1871949.5100000007
HY-VEE FOOD STORE #5 / CEDAR RAPIDS,LINN,1785782.86
HY-VEE #4 / WDM,POLK,1753449.86
HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,POTTAWATTAMIE,1744751.9199999988
HY-VEE FOOD STORE (1011) / ALTOONA,POLK,1706727.8299999991
HY-VEE FOOD STORE (1148) / FLEUR / DSM,POLK,1680362.8199999991
HY-VEE #2 / CORALVILLE,JOHNSON,1663258.7300000002
HY-VEE #4 / DAVENPORT,SCOTT,1632079.1699999992
HY-VEE / GRIMES,POLK,1596295.7700000005
HY-VEE FOOD STORE #1 (1159) / DUBUQUE,DUBUQUE,1591832.4799999995
HY-VEE FORT DODGE WINE AND SPIRITS,WEBSTER,1473231.73
HY-VEE FOOD STORE #3 (1866) / WATERLOO,BLACK HAWK,1380900.75
HY-VEE FOOD STORE / MUSCATINE,MUSCATINE,1358299.1599999995
HY-VEE #2 / DUBUQUE,DUBUQUE,1355942.0699999996
HY-VEE FOOD STORE (1271) / INDIANOLA,WARREN,1355882.2400000005
HY-VEE FOOD STORE #1 / COUNCIL BLUFFS,POTTAWATTAMIE,1343927.3000000003
HY-VEE FOOD STORE / CEDAR FALLS,BLACK HAWK,1342275.8100000008
HY-VEE FOOD STORE #5 (1151) / DES MOINES,POLK,1327918.4299999997
HY-VEE FOOD STORE #3 / SIOUX CITY,WOODBURY,1326469.0799999998
HY-VEE FOOD STORE / CARROLL,CARROLL,1318503.4000000001
HY-VEE FOOD STORE (1396) / MARION,LINN,1294902.58
HY-VEE #2 (1044) / BURLINGTON,DES MOINES,1287820.2199999993
HY-VEE FOOD STORE #4 / SIOUX CITY,WOODBURY,1267284.08
HY-VEE FOOD STORE #3 (1142) / DES MOINES,POLK,1236903.0600000008
HY-VEE FOOD AND DRUG / CLINTON,CLINTON,1229539.4300000002
HY-VEE / WAVERLY,BREMER,1079978.9200000002
HY-VEE (1530) / PLEASANT HILL,POLK,1050714.6299999994
HY-VEE FOOD STORE #3 (1056) / CEDAR RAPIDS,LINN,1044726.4499999996
HY-VEE FOOD STORE (1636) / SPENCER,CLAY,1039033.4200000005
HY-VEE #5 / DAVENPORT,SCOTT,1032187.9900000006
HY-VEE FOOD AND DRUG (1888) / GRAND / WDM,POLK,1028561.03
HY-VEE WINE & SPIRITS #2 / DAVENPORT,SCOTT,1025847.3899999999
HY-VEE WINE AND SPIRITS / PELLA,MARION,1016223.17
HY-VEE FOOD STORE #1 (1504) / OTTUMWA,WAPELLO,1002410.2599999994
HY-VEE FOOD STORE (1403) / MARSHALLTOWN,MARSHALL,1001280.27
HY-VEE DRUGSTORE #5 / CEDAR RAPIDS,LINN,985493.83000000054
HY-VEE FOOD STORE / JOHNSTON,POLK,985116.16000000027
HY-VEE FOOD AND DRUG #6 / CEDAR RAPIDS,LINN,982398.11000000045
HY-VEE FOOD STORE / IOWA CITY,JOHNSON,975778.80000000028
HY-VEE WINE AND SPIRITS (1038) / BOONE,BOONE,971270.36
HY-VEE FOOD STORE #1 (1013) / AMES,STORY,931232.93000000017
HY-VEE FOOD STORE #1 (1449) / NEWTON,JASPER,924004.59000000055
HY-VEE FOOD STORE / SIOUX CITY,WOODBURY,906826.36999999988
HY-VEE DRUGSTORE / UNIVERSITY / DSM,POLK,898305.40000000037
HY-VEE WINE AND SPIRITS (1628) / SPIRIT LAKE,DICKINSON,876852.44000000006
HY-VEE / WINDSOR HEIGHTS,POLK,857133.37999999966
HY-VEE WINE AND SPIRITS (1010) / ALGONA,KOSSUTH,841844.77
HY-VEE WINE AND SPIRITS / WATERLOO,BLACK HAWK,838087.70999999961
HY-VEE FOOD STORE (1433) / MOUNT PLEASANT,HENRY,835269.91999999981
HY-VEE #3 / DUBUQUE,DUBUQUE,829060.09999999974
HY-VEE WINE AND SPIRITS / HUMBOLDT,HUMBOLDT,817953.23999999964
HY-VEE FOOD STORE (1295) / IOWA FALLS,HARDIN,817197.84999999951
HY-VEE #2 FOOD STORE / MASON CITY,CERRO GORDO,800959.76
HY-VEE / DECORAH,WINNESHIEK,745186.72000000009
HY-VEE WINE AND SPIRITS / ATLANTIC,CASS,732220.82000000041
HY-VEE WINE & SPIRITS / MUSCATINE,MUSCATINE,707525.99
HY-VEE FOOD STORE (1324) / KEOKUK,LEE,697519.33999999985
HY-VEE FOOD STORE #1 (1054) / CEDAR RAPIDS,LINN,681938.50000000012
HY-VEE WINE AND SPIRITS / DENISON,CRAWFORD,673271.11
HY-VEE WINE AND SPIRITS / LE MARS,PLYMOUTH,672346.84000000043
HY-VEE FOOD STORE #2 (1138) / DES MOINES,POLK,670188.57000000065
HY-VEE WINE AND SPIRITS / HARLAN,SHELBY,668321.71000000031
HY-VEE / DRUGTOWN #1 (7020) / CEDAR RAPIDS,LINN,631821.06999999972
HY-VEE WINE AND SPIRITS / STORM LAKE,BUENA VISTA,627037.00000000012
HY-VEE FOOD STORE / FAIRFIELD,JEFFERSON,611392.80999999994
HY-VEE / CHARLES CITY,FLOYD,599712.44000000006
HY-VEE WINE AND SPIRITS / HUBBELL,POLK,598675.66999999981
HY-VEE FOOD STORE / SHELDON,O'BRIEN,596404.41999999969
HY-VEE DRUGSTORE / DAVENPORT,SCOTT,587062.28999999969
HY-VEE DRUGSTORE (7042) / IOWA CITY,JOHNSON,576919.72999999986
HY-VEE FOOD STORE / WEBSTER CITY,HAMILTON,574056.50000000012
HY-VEE FOOD STORE #2 (1285) / IOWA CITY,JOHNSON,562314.66000000015
HY-VEE WINE AND SPIRITS (1544) / RED OAK,MONTGOMERY,559594.7799999998
HY-VEE FOOD STORE #1 (1887) / WDM,POLK,504123.9800000001
HY-VEE FOOD STORE (1065) / CHARITON,LUCAS,493442.62
HY-VEE DRUGSTORE / OTTUMWA,WAPELLO,468317.12999999966
HY-VEE # 6/ DES MOINES,POLK,464824.44999999984
HY-VEE DRUGSTORE / MASON CITY,CERRO GORDO,453707.9300000004
HY-VEE FOOD STORE (1353) / KNOXVILLE,MARION,452159.89000000019
HY-VEE DOLLAR FRESH / MAQUOKETA,JACKSON,451232.13999999978
HY-VEE DRUGSTORE #6 / CEDAR RAPIDS,LINN,425533.98999999987
HY-VEE WINE AND SPIRITS / SHENANDOAH,PAGE,421646.16000000044
HY-VEE WINE AND SPIRITS / WASHINGTON,WASHINGTON,418122.49000000017
HY-VEE FOOD STORE (1192) / FORT DODGE,WEBSTER,400966.55
HY-VEE DRUGSTORE #4 (7025) / CEDAR RAPIDS,LINN,366593.2900000001
HY-VEE / ELDRIDGE,SCOTT,360301.39000000007
HY-VEE WINE & SPIRITS #1 / MLK,POLK,333740.73000000004
HY-VEE DOLLAR FRESH / MONTICELLO,JONES,330039.33999999997
HY-VEE FOOD STORE / GRINNELL,POWESHIEK,329189.01999999996
HY-VEE WINE AND SPIRITS (1170) / ESTHERVILLE,EMMET,324834.51999999996
HY-VEE  /  JEFFERSON,GREENE,316949.4000000002
HY-VEE FOOD STORE / SIOUX CENTER,SIOUX,294425.93999999989
HY-VEE DOLLAR FRESH / ORANGE CITY,SIOUX,290838.94000000012
HY-VEE FOOD STORE (1058) / CENTERVILLE,APPANOOSE,285091.86000000016
HY-VEE FOOD STORE #1 / WATERLOO,BLACK HAWK,280971.28
HY-VEE DYERSVILLE DOLLAR FRESH,DUBUQUE,272207.85000000003
HY-VEE FOOD STORE / FORT MADISON,LEE,267044.83
HY-VEE / WINTERSET,MADISON,262258.30000000016
HY-VEE DRUGSTORE #2 / WDM,POLK,251589.73999999996
HY-VEE FOOD STORE (1473) / OSCEOLA,CLARKE,240945.15000000005
HY-VEE / VINTON,BENTON,240384.28000000009
HY-VEE FOOD STORE #1 (1042) / BURLINGTON,DES MOINES,234204.9599999999
HY-VEE FOOD STORE (1095) / CRESTON,UNION,228616.95
HY-VEE FOOD STORE / CLARINDA,PAGE,222643.02000000011
HY-VEE FOOD STORE / CHEROKEE,CHEROKEE,222103.00999999992
HY-VEE OELWEIN DOLLAR FRESH,FAYETTE,219698.20000000016
HY-VEE STORE / PERRY,DALLAS,217104.71000000002
HY-VEE DOLLAR FRESH - EMMETSBURG,PALO ALTO,214927.3000000001
HY-VEE FOOD STORE / OSKALOOSA,MAHASKA,214161.98000000027
HY-VEE DOLLAR FRESH / NEVADA,STORY,212817.07999999993
HY-VEE FOOD STORE #2 / WATERLOO,BLACK HAWK,211113.5
HY-VEE - FOREST CITY,WINNEBAGO,211028.27999999994
HY-VEE FAST & FRESH - DES MOINES,POLK,205881.27999999994
HY-VEE FOOD STORE / MOUNT AYR,RINGGOLD,205422.39999999997
HY-VEE DOLLAR FRESH / MANCHESTER,DELAWARE,201058.59999999989
HY-VEE FOOD STORE / CORNING,ADAMS,188694.26
HY-VEE DOLLAR FRESH / INDEPENDENCE,BUCHANAN,186381.82000000012
HY-VEE CRESCO DOLLAR FRESH,HOWARD,186114.97000000003
HY-VEE DOLLAR FRESH - TOLEDO,TAMA,181813.89000000007
HY-VEE -GARNER,HANCOCK,163577.48
HY-VEE FAST & FRESH / DAVENPORT,SCOTT,145994.88999999998
HY-VEE FOOD STORE (1009) / ALBIA,MONROE,137056.69000000012
HY-VEE FAST & FRESH/ALTOONA,POLK,127685.05999999994
HY-VEE HAMPTON DOLLAR FRESH,FRANKLIN,120507.44000000005
HY-VEE / CORYDON,WAYNE,114546.43000000001
HY-VEE FOOD STORE / ELDORA,HARDIN,104483.74999999999
HY-VEE FOOD STORE / LEON,DECATUR,91329.98000000001
HY-VEE FAST & FRESH / WDM,POLK,80087.879999999932
HY-VEE C-STORE / SE ARMY POST,POLK,78910.95
HY-VEE WAUKON DOLLAR FRESH,ALLAMAKEE,72515.809999999983
HY-VEE FOOD STORE #4 / CEDAR RAPIDS,LINN,69409.55
HY-VEE FAST AND FRESH / CUMMING,WARREN,69002.65
HY-VEE FOOD STORE / BEDFORD,TAYLOR,68331.110000000015
HY-VEE FAST AND FRESH #5 (7584) / URBANDALE,POLK,68323.299999999988
HY-VEE FAST AND FRESH #2 (7591) / WEST DES MOINES,POLK,62787.180000000029
HY-VEE FOOD STORE #1 (1105) / DAVENPORT,SCOTT,61583.080000000024
HY-VEE FAST AND FRESH #3 / URBANDALE,POLK,60706.860000000015
HY-VEE FAST AND FRESH / WAUKEE,DALLAS,57778.81
HY-VEE FOOD STORE / DENISON,CRAWFORD,53605.279999999992
HY-VEE FAST AND FRESH #2 / GRIMES,POLK,51670.019999999975
HY-VEE FAST AND FRESH #4 (7583) / URBANDALE,POLK,51564.040000000015
HY-VEE FOOD STORE / LAMONI,DECATUR,50619.149999999972
HY-VEE FAST AND FRESH / MARION,LINN,49832.659999999996
HY-VEE MAINSTREET / SIOUX CITY,WOODBURY,49417.549999999996
HY-VEE FAST AND FRESH #3 (7592) / WEST DES MOINES,POLK,47402.140000000007
HY-VEE GAS #1 / ANKENY,POLK,45424.660000000011
HY-VEE FAST & FRESH EXPRESS- BETTENDORF,SCOTT,43529.020000000019
HY-VEE GAS #2 / OTTUMWA,WAPELLO,43301.610000000008
HY-VEE FAST AND FRESH #2 / WAUKEE,DALLAS,43140.559999999983
HY-VEE C-STORE #2 - ANKENY,POLK,42118.139999999992
HY-VEE FAST AND FRESH - DUBUQUE,DUBUQUE,41372.739999999991
HY-VEE FAST AND FRESH - WINDSOR HEIGHTS,POLK,38779.239999999983
HY-VEE GAS - PLEASANT HILL,POLK,38112.500000000007
HY-VEE C-STORE - EAST HICKMAN,DALLAS,36137.420000000013
HY-VEE FAST & FRESH 2 / DAVENPORT,SCOTT,34770.859999999993
HY-VEE FAST AND FRESH - URBANDALE,POLK,33842.540000000023
HY-VEE GAS / JOHNSTON,POLK,32834.260000000031
HY-VEE GAS #2 / CORALVILLE,JOHNSON,30973.070000000014
HY-VEE C-STORE #3 / DUBUQUE,DUBUQUE,29967.940000000006
HY-VEE C-STORE - DOUGLAS,POLK,27460.280000000002
HY-VEE GAS / INDIANOLA,WARREN,26068.059999999994
HY-VEE GAS #3 / WDM,DALLAS,24321.730000000003
HY-VEE FAST AND FRESH / GRIMES,POLK,24247.519999999997
HY-VEE / KNOXVILLE,MARION,21879.490000000005
HY-VEE FAST AND FRESH / JOHNSTON,POLK,21168.35
HY-VEE GAS #4 / DES MOINES,POLK,19921.039999999994
HY-VEE FAST AND FRESH / CLIVE,POLK,19675.460000000006
HY-VEE C-STORE / FAIRFIELD,JEFFERSON,17603.48
HY-VEE FAST AND FRESH #2 / AMES,STORY,16660.35
HY-VEE C STORE #5 / CEDAR RAPIDS,LINN,16388.509999999991
HY-VEE GAS #5 / DAVENPORT,SCOTT,15611.909999999994
HY-VEE GAS #4 - WDM,POLK,15546.109999999999
HY-VEE C-STORE #3 / CEDAR RAPIDS,LINN,15309.160000000002
HY-VEE GAS / NEWTON,JASPER,14745.569999999996
HY-VEE #3 GAS / IOWA CITY,JOHNSON,13644.850000000004
HY-VEE GAS #2 / BURLINGTON,DES MOINES,13141.850000000002
HY-VEE FAST & FRESH / ALTOONA,POLK,12228.69
HY-VEE FAST & FRESH EXPRESS / CRESTON,UNION,11584.380000000001
HY-VEE GAS #1 / OTTUMWA,WAPELLO,7179.55
HY-VEE FAST & FRESH EXPRESS -OSCELOA,CLARKE,6383.78
HY-VEE GAS #5018 / AMES,STORY,6380.0899999999992
HY-VEE FAST & FRESH EXPRESS / CENTERVILLE,APPANOOSE,5086.2400000000025
HY-VEE GAS / FORT MADISON,LEE,3138.4900000000007
HY-VEE FAST & FRESH - KNOXVILLE,MARION,2606.67
HY-VEE C STORE / MT. PLEASANT,HENRY,2495.97
HY-VEE (1516) / PELLA,MARION,2313.6800000000007
HY-VEE FAST AND FRESH / GRIMES,,2070.96
